total decks: 73
72/73, Eaglehorn Bow
71/73, Kill Command
70/73, Alleycat
70/73, Houndmaster
70/73, Animal Companion
68/73, Crackling Razormaw
66/73, Savannah Highmane
61/73, Golakka Crawler
59/73, Kindly Grandmother
56/73, Bearshark
55/73, Deadly Shot
51/73, Tracking
49/73, Unleash the Hounds
45/73, Scavenging Hyena
43/73, Bittertide Hydra
42/73, Deathstalker Rexxar
26/73, Fire Fly
25/73, Bonemare
23/73, Patches the Pirate
23/73, Bloodsail Corsair
22/73, Stitched Tracker
20/73, Jeweled Macaw
16/73, Tundra Rhino
15/73, Spellbreaker
13/73, Dire Wolf Alpha
8/73, Cobalt Scalebane
7/73, Hungry Crab
6/73, Hunter's Mark
5/73, Infested Wolf
5/73, Leeroy Jenkins
4/73, Rat Pack
4/73, Corpse Widow
4/73, Nesting Roc
4/73, The Lich King
4/73, Explosive Trap
3/73, Fiery Bat
3/73, Flare
3/73, Dispatch Kodo
3/73, Prince Keleseth
2/73, Venomstrike Trap
2/73, Barnes
2/73, On the Hunt
2/73, Freezing Trap
2/73, Cat Trick
2/73, Tar Creeper
2/73, Southsea Captain
1/73, Ravasaur Runt
1/73, Knife Juggler
1/73, Vicious Fledgling
1/73, Piranha Launcher
1/73, Timber Wolf
1/73, Terrorscale Stalker
1/73, Devilsaur Egg
1/73, Crazed Alchemist
1/73, Defender of Argus
1/73, Play Dead
1/73, Trogg Beastrager
1/73, Snake Trap
1/73, Cloaked Huntress
1/73, Professor Putricide
1/73, Snipe
1/73, Doomsayer
1/73, Arcane Shot
1/73, Y'Shaarj, Rage Unbound
1/73, Misdirection
1/73, Mistress of Mixtures
1/73, The Marsh Queen
1/73, Tol'vir Warden
1/73, Tol'vir Stoneshaper
1/73, Igneous Elemental
1/73, Cult Master
1/73, Argent Squire
