total decks: 136
136/136, Arcane Intellect
135/136, Primordial Glyph
127/136, Arcanologist
100/136, Frostbolt
87/136, Fireball
86/136, Ice Block
85/136, Medivh's Valet
77/136, Mana Wyrm
73/136, Sorcerer's Apprentice
73/136, Doomsayer
72/136, Firelands Portal
72/136, Blizzard
67/136, Babbling Book
67/136, Frost Nova
61/136, Counterspell
58/136, Ice Barrier
55/136, Archmage Antonidas
50/136, Cabalist's Tome
46/136, Kirin Tor Mage
45/136, Frost Lich Jaina
45/136, Open the Waygate
44/136, Kabal Crystal Runner
42/136, Mirror Entity
41/136, Flamestrike
40/136, Polymorph
39/136, Molten Reflection
39/136, Coldlight Oracle
37/136, Alexstrasza
37/136, Novice Engineer
36/136, Meteor
35/136, Volcanic Potion
31/136, Simulacrum
29/136, Medivh, the Guardian
26/136, Bonemare
26/136, Acolyte of Pain
26/136, Bloodmage Thalnos
24/136, Skulking Geist
22/136, Water Elemental
22/136, Ghastly Conjurer
21/136, Tar Creeper
20/136, Spellbender
18/136, Golakka Crawler
14/136, The Lich King
13/136, Pyros
12/136, Burgly Bully
12/136, Baron Geddon
11/136, Servant of Kalimos
10/136, Bittertide Hydra
9/136, Arcane Giant
9/136, Mana Bind
9/136, Pyroblast
9/136, Blazecaller
8/136, Steam Surger
8/136, Kazakus
7/136, Kabal Lackey
7/136, Cobalt Scalebane
7/136, Flame Geyser
7/136, Fire Fly
7/136, Kabal Courier
6/136, Tol'vir Stoneshaper
6/136, Dirty Rat
5/136, Sindragosa
5/136, Loot Hoarder
4/136, Yogg-Saron, Hope's End
4/136, Elise the Trailblazer
3/136, Inkmaster Solia
2/136, The Black Knight
2/136, Frozen Clone
2/136, Shimmering Tempest
2/136, Cone of Cold
2/136, Mind Control Tech
1/136, Gluttonous Ooze
1/136, Potion of Polymorph
1/136, Faceless Summoner
1/136, Igneous Elemental
1/136, Arcane Missiles
1/136, Eater of Secrets
1/136, Forbidden Flame
1/136, Mistress of Mixtures
1/136, Molten Giant
