total decks: 57
50/57, Sunkeeper Tarim
49/57, Rallying Blade
43/57, Tirion Fordring
42/57, Righteous Protector
41/57, Spikeridged Steed
40/57, Hydrologist
35/57, Bonemare
30/57, Stonehill Defender
30/57, Blessing of Kings
27/57, Rockpool Hunter
26/57, Murloc Warleader
26/57, Murloc Tidecaller
26/57, Gentle Megasaur
26/57, Vilefin Inquisitor
24/57, Finja, the Flying Star
23/57, Wickerflame Burnbristle
22/57, Truesilver Champion
20/57, Aldor Peacekeeper
19/57, Consecration
19/57, Grimscale Chum
19/57, Corpsetaker
16/57, The Curator
15/57, Smuggler's Run
14/57, Divine Favor
14/57, Cobalt Scalebane
14/57, Prince Keleseth
13/57, Equality
12/57, The Lich King
12/57, Patches the Pirate
11/57, Grimestreet Enforcer
10/57, Fire Fly
10/57, Wild Pyromancer
10/57, Uther of the Ebon Blade
10/57, Doomsayer
9/57, Chillblade Champion
8/57, Coldlight Seer
8/57, Argent Squire
8/57, Golakka Crawler
8/57, Saronite Chain Gang
8/57, Bloodsail Corsair
8/57, Ragnaros, Lightlord
7/57, Acolyte of Pain
6/57, Dread Corsair
6/57, Spellbreaker
6/57, Tar Creeper
6/57, Primordial Drake
5/57, Stormwatcher
5/57, Small-Time Recruits
5/57, Southsea Deckhand
5/57, Acherus Veteran
5/57, Grook Fu Master
5/57, Ivory Knight
5/57, Forbidden Healing
5/57, Dirty Rat
4/57, Crazed Alchemist
4/57, Blessing of Might
4/57, Abusive Sergeant
4/57, Stampeding Kodo
4/57, Doppelgangster
4/57, Grimestreet Outfitter
3/57, Skelemancer
3/57, N'Zoth, the Corruptor
3/57, Blackguard
3/57, Cairne Bloodhoof
3/57, Lay on Hands
3/57, Tol'vir Stoneshaper
3/57, Skulking Geist
2/57, Steward of Darkshire
2/57, Murloc Tidehunter
2/57, Grimscale Oracle
2/57, Bluegill Warrior
2/57, Leeroy Jenkins
2/57, Argent Protector
2/57, Meanstreet Marshal
2/57, Southsea Captain
2/57, Sword of Justice
2/57, Auctionmaster Beardo
2/57, Burgly Bully
2/57, Servant of Kalimos
2/57, Mindbreaker
2/57, Hammer of Wrath
2/57, Coldlight Oracle
1/57, Arrogant Crusader
1/57, Loot Hoarder
1/57, The Black Knight
1/57, Argent Commander
1/57, Howling Commander
1/57, Lightfused Stegodon
1/57, Stand Against Darkness
1/57, Lost in the Jungle
1/57, Cult Master
1/57, Vinecleaver
1/57, Menagerie Magician
1/57, Don Han'Cho
1/57, Nerubian Unraveler
1/57, Bolvar, Fireblood
1/57, Ysera
1/57, Fire Plume Phoenix
1/57, Vicious Fledgling
1/57, Fight Promoter
1/57, Infested Tauren
1/57, Glacial Shard
1/57, Igneous Elemental
1/57, Blazecaller
1/57, Deathwing
1/57, Primalfin Lookout
1/57, Frostwolf Warlord
1/57, Deathspeaker
1/57, Twilight Drake
1/57, Corpse Raiser
1/57, Netherspite Historian
1/57, Bone Drake
