total decks: 89
89/89, Jade Claws
89/89, Jade Lightning
87/89, Mana Tide Totem
87/89, Maelstrom Portal
85/89, Devolve
83/89, Doppelgangster
83/89, Evolve
83/89, Thing from Below
79/89, Aya Blackpaw
79/89, Thrall, Deathseer
77/89, Flametongue Totem
77/89, Fire Fly
76/89, Bloodlust
71/89, Primalfin Totem
68/89, Bloodsail Corsair
67/89, Patches the Pirate
54/89, Saronite Chain Gang
26/89, Stonehill Defender
23/89, Jade Spirit
21/89, Golakka Crawler
17/89, Bonemare
17/89, Lightning Storm
12/89, Jade Chieftain
12/89, Volcano
9/89, Barnes
9/89, Sea Giant
8/89, Bloodmage Thalnos
6/89, Hex
4/89, Rattling Rascal
4/89, Jinyu Waterspeaker
3/89, Master of Evolution
3/89, Spirit Echo
3/89, Argent Squire
3/89, Hot Spring Guardian
3/89, Fire Elemental
3/89, Kalimos, Primal Lord
3/89, Servant of Kalimos
2/89, Cairne Bloodhoof
2/89, Tainted Zealot
2/89, Blazecaller
2/89, Tar Creeper
2/89, Cobalt Scalebane
2/89, Lightning Bolt
2/89, Ancestral Spirit
2/89, Earth Elemental
1/89, Nerubian Prophet
1/89, Eater of Secrets
1/89, Prince Taldaram
1/89, Cult Master
1/89, Primalfin Lookout
1/89, Corpsetaker
1/89, Al'Akir the Windlord
1/89, Ysera
1/89, Far Sight
1/89, White Eyes
1/89, The Lich King
1/89, Madam Goya
1/89, Y'Shaarj, Rage Unbound
1/89, Hallazeal the Ascended
