total decks: 110
106/110, Voidwalker
101/110, Despicable Dreadlord
96/110, Bloodreaver Gul'dan
68/110, Doomguard
66/110, Mortal Coil
64/110, Flame Imp
60/110, Soulfire
60/110, Prince Keleseth
58/110, Malchezaar's Imp
57/110, Bonemare
50/110, Patches the Pirate
49/110, Darkshire Councilman
49/110, Acherus Veteran
47/110, Defile
46/110, Fire Fly
45/110, Tar Creeper
44/110, Siphon Soul
44/110, Abyssal Enforcer
39/110, Mistress of Mixtures
35/110, Southsea Captain
34/110, Twisting Nether
33/110, Bloodsail Corsair
33/110, Drain Soul
32/110, The Lich King
32/110, Hellfire
32/110, Earthen Ring Farseer
32/110, Doomsayer
30/110, Spellbreaker
28/110, Saronite Chain Gang
28/110, Vicious Fledgling
27/110, Tainted Zealot
25/110, Skulking Geist
24/110, Twilight Drake
23/110, Crystalweaver
21/110, Shadow Bolt
18/110, Bloodmage Thalnos
17/110, Defender of Argus
17/110, Stonehill Defender
15/110, Mountain Giant
14/110, Dirty Rat
14/110, Howlfiend
13/110, Cobalt Scalebane
13/110, Blood Imp
12/110, Dark Iron Dwarf
12/110, Possessed Villager
12/110, Happy Ghoul
12/110, Golakka Crawler
11/110, Medivh, the Guardian
10/110, Silverware Golem
10/110, Bloodfury Potion
10/110, Gnomeferatu
10/110, Treachery
8/110, Argent Squire
8/110, Alexstrasza
7/110, Faceless Shambler
7/110, Dread Infernal
7/110, Coldlight Oracle
6/110, Elise the Trailblazer
6/110, Lakkari Felhound
6/110, Kazakus
6/110, Krul the Unshackled
5/110, Sea Giant
5/110, Ravenous Pterrordax
5/110, Shadowflame
5/110, Darkshire Librarian
5/110, Gluttonous Ooze
5/110, Bloodworm
5/110, Corpsetaker
4/110, Glacial Shard
4/110, Leeroy Jenkins
4/110, Cairne Bloodhoof
4/110, Clutchmother Zavas
4/110, Prince Valanar
3/110, The Black Knight
3/110, Deathspeaker
3/110, Devilsaur Egg
3/110, Sunfury Protector
3/110, Ironbeak Owl
3/110, Mind Control Tech
3/110, Lakkari Sacrifice
3/110, Blood-Queen Lana'thel
2/110, Forbidden Ritual
2/110, Demonfire
2/110, Succubus
2/110, Dire Wolf Alpha
2/110, Blastcrystal Potion
2/110, Kabal Courier
2/110, Mindbreaker
2/110, Faceless Manipulator
2/110, Lord Jaraxxus
2/110, Summoning Portal
2/110, Meat Wagon
2/110, Sunwalker
1/110, Abusive Sergeant
1/110, Blood Knight
1/110, Skelemancer
1/110, Sanguine Reveler
1/110, Argent Commander
1/110, Acidic Swamp Ooze
1/110, Ravasaur Runt
1/110, Knife Juggler
1/110, Unwilling Sacrifice
1/110, Hungry Crab
1/110, Crazed Alchemist
1/110, Bright-Eyed Scout
1/110, Y'Shaarj, Rage Unbound
1/110, Validated Doomsayer
1/110, Corrupting Mist
1/110, Bane of Doom
1/110, Kabal Trafficker
1/110, Psych-o-Tron
1/110, Tar Lurker
1/110, Sacrificial Pact
1/110, Sense Demons
1/110, Felfire Potion
