total decks: 50
33/50, Blood Razor
32/50, Acolyte of Pain
32/50, Execute
31/50, Sleep with the Fishes
30/50, Slam
29/50, Battle Rage
28/50, Armorsmith
28/50, Brawl
27/50, Shield Block
26/50, Scourgelord Garrosh
25/50, Dirty Rat
23/50, Dead Man's Hand
22/50, Whirlwind
20/50, Skulking Geist
19/50, Kor'kron Elite
19/50, Frothing Berserker
18/50, Patches the Pirate
18/50, N'Zoth's First Mate
17/50, Fiery War Axe
16/50, Arcanite Reaper
16/50, Dread Corsair
16/50, Upgrade!
16/50, Southsea Captain
16/50, Southsea Deckhand
16/50, Spellbreaker
16/50, Bloodsail Cultist
15/50, Bittertide Hydra
15/50, Fire Fly
15/50, Direhorn Hatchling
14/50, Ravaging Ghoul
13/50, Prince Keleseth
13/50, Leeroy Jenkins
13/50, Bring It On!
12/50, Naga Corsair
11/50, Mountainfire Armor
11/50, Shield Slam
11/50, Coldlight Oracle
9/50, N'Zoth, the Corruptor
8/50, The Curator
8/50, Stonehill Defender
8/50, Public Defender
7/50, Mortal Strike
7/50, Alley Armorsmith
6/50, Primordial Drake
6/50, Fire Plume's Heart
5/50, Captain Greenskin
5/50, The Lich King
5/50, Tar Creeper
5/50, Blood To Ichor
4/50, Bloodsail Raider
4/50, Heroic Strike
4/50, Grommash Hellscream
4/50, Bloodhoof Brave
4/50, Doomsayer
4/50, Bloodmage Thalnos
3/50, Bonemare
3/50, Saronite Chain Gang
3/50, Golakka Crawler
2/50, Argent Commander
2/50, Cobalt Scalebane
2/50, Cairne Bloodhoof
2/50, Elise the Trailblazer
2/50, Forge of Souls
2/50, Commanding Shout
2/50, Inner Rage
2/50, Wild Pyromancer
2/50, Don Han'Cho
2/50, Sudden Genesis
2/50, Rotface
1/50, Vicious Fledgling
1/50, Phantom Freebooter
1/50, Arathi Weaponsmith
1/50, Fool's Bane
1/50, Mind Control Tech
1/50, Rampage
1/50, Loot Hoarder
1/50, Twin Emperor Vek'lor
1/50, Ancient Shieldbearer
1/50, C'Thun
1/50, Beckoner of Evil
1/50, Disciple of C'Thun
1/50, C'Thun's Chosen
1/50, Mindbreaker
1/50, Ticking Abomination
