total decks: 57
0.8772, Sunkeeper Tarim
0.8596, Rallying Blade
0.7544, Tirion Fordring
0.7368, Righteous Protector
0.7193, Spikeridged Steed
0.7018, Hydrologist
0.5263, Blessing of Kings
0.4561, Vilefin Inquisitor
0.4035, Wickerflame Burnbristle
0.3860, Truesilver Champion
0.3509, Aldor Peacekeeper
0.3333, Consecration
0.3333, Grimscale Chum
0.2632, Smuggler's Run
0.2456, Divine Favor
0.2281, Equality
0.1930, Grimestreet Enforcer
0.1754, Uther of the Ebon Blade
0.1579, Chillblade Champion
0.1404, Ragnaros, Lightlord
0.0877, Small-Time Recruits
0.0877, Ivory Knight
0.0877, Forbidden Healing
0.0702, Blessing of Might
0.0702, Grimestreet Outfitter
0.0526, Blackguard
0.0526, Lay on Hands
0.0351, Steward of Darkshire
0.0351, Argent Protector
0.0351, Meanstreet Marshal
0.0351, Sword of Justice
0.0351, Hammer of Wrath
0.0175, Arrogant Crusader
0.0175, Howling Commander
0.0175, Lightfused Stegodon
0.0175, Stand Against Darkness
0.0175, Lost in the Jungle
0.0175, Vinecleaver
0.0175, Bolvar, Fireblood
