total decks: 1114
419, Patches the Pirate, 1
400, Fire Fly, 2
306, Bonemare, 2
288, Prince Keleseth, 1
231, Spellbreaker, 1
225, Aya Blackpaw, 1
219, Backstab, 2
213, Swashburglar, 2
213, Vilespine Slayer, 2
211, Southsea Captain, 2
210, Edwin VanCleef, 1
204, Cobalt Scalebane, 2
194, Leeroy Jenkins, 1
194, Bloodmage Thalnos, 1
194, SI:7 Agent, 2
193, Southsea Deckhand, 2
179, Shadowstep, 2
165, Jade Spirit, 2
165, Shadowreaper Anduin, 1
161, Tar Creeper, 2
160, Golakka Crawler, 1
159, Bloodsail Corsair, 2
157, Ultimate Infestation, 2
153, Nourish, 2
153, Swipe, 2
152, Malfurion the Pestilent, 1
152, Wrath, 2
151, Jade Blossom, 2
151, Potion of Madness, 1
148, Wild Growth, 2
148, Cold Blood, 2
146, Tar Creeper, 1
145, Golakka Crawler, 2
145, Kazakus, 1
145, Shadow Word: Death, 1
144, Acolyte of Pain, 1
144, Silence, 1
143, Jade Behemoth, 2
143, Jade Idol, 2
141, Fandral Staghelm, 1
138, The Lich King, 1
137, Spirit Lash, 1
137, Dragonfire Potion, 1
135, Priest of the Feast, 1
133, Shadow Word: Pain, 1
132, Northshire Cleric, 1
131, Raza the Chained, 1
131, Shadow Visions, 1
130, Doomsayer, 2
130, Power Word: Shield, 1
130, Shaku, the Collector, 1
127, Primordial Glyph, 2
126, Spreading Plague, 2
125, Arcane Intellect, 2
124, Radiant Elemental, 1
121, Holy Smite, 1
120, Lyra the Sunshard, 1
118, Novice Engineer, 1
118, Curious Glimmerroot, 1
117, Arcanologist, 2
117, Prophet Velen, 1
115, Doomsayer, 1
115, Loot Hoarder, 1
112, Medivh, the Guardian, 1
99, Skulking Geist, 1
98, Voidwalker, 2
97, Bittertide Hydra, 2
96, Bloodreaver Gul'dan, 1
94, Despicable Dreadlord, 2
93, Mind Blast, 1
91, Greater Healing Potion, 1
89, Jade Claws, 2
88, Frostbolt, 2
88, Shadow Word: Horror, 1
88, Pint-Size Potion, 1
88, Jade Lightning, 2
87, Mark of the Lotus, 2
86, Mire Keeper, 2
86, Maelstrom Portal, 2
85, Mana Tide Totem, 2
84, Doppelgangster, 2
83, Bonemare, 1
83, Evolve, 2
83, Thing from Below, 2
81, Wild Pyromancer, 1
79, Thrall, Deathseer, 1
78, Vicious Fledgling, 2
77, Fireball, 2
77, Flametongue Totem, 2
76, Medivh's Valet, 2
72, Sorcerer's Apprentice, 2
